"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"188",1.27098930348941,0.196848092834394,-0.0248571440233477,0.0139506362754789,0.00392064937993881,-0.00435132159679105,-0.0077607241216154,0.0290759865835244,0.00612275332729116,0.0217937686831289,0.00981416848225831
"189",1.27098943415039,0.196848134298605,-0.0248567248083902,0.013950376855239,0.00392056632384763,-0.0043512690443323,-0.00776059949171664,0.0290754953541451,0.00612261895329461,0.0217933749245172,0.00981398431332325
"190",1.27098958683624,0.19684817982032,-0.024856236231968,0.0139500832156227,0.00392047114003295,-0.00435119535183008,-0.00776045380797354,0.0290748816766872,0.00612248786960468,0.021792917641212,0.00981377002507897
"191",1.27098977385757,0.196848237229993,-0.0248556340940722,0.0139497167797914,0.0039203532189999,-0.00435111145820886,-0.00776027435094042,0.0290741493310904,0.00612231206742675,0.0217923536173523,0.00981350610239885
"192",1.27204803177816,0.197179412823624,-0.0213776564721757,0.0118601601947685,0.00326111893195256,-0.00384652462020543,-0.00671494428205225,0.0248707638017084,0.00513265180935647,0.0185679476377758,0.00831396368778014
"193",1.27204803159061,0.19717941276385,-0.021377657106181,0.0118601605703231,0.00326111904774343,-0.00384652471601877,-0.00671494447433082,0.0248707645624255,0.00513265198477694,0.0185679482188617,0.00831396395613546
"194",1.27099052719366,0.19684846810519,-0.0248532077988328,0.0139482404510576,0.00391987822351793,-0.00435077325489948,-0.00775955118506402,0.0290711984073386,0.00612160392632755,0.0217900811386228,0.00981244281533739
"195",1.27099022763846,0.196848376379125,-0.0248541727988301,0.0139488275734369,0.0039200671031528,-0.00435090781539713,-0.00775983881661904,0.0290723720536601,0.00612188550622107,0.0217909849041937,0.00981286567041897
"196",1.27098997777351,0.196848299793275,-0.024854977437313,0.0139493171873552,0.00392022463845297,-0.00435101994818188,-0.00776007864134567,0.02907335069685,0.00612212037145585,0.0217917385522938,0.00981321830260998
"197",1.27098977035561,0.196848236155267,-0.0248556453698438,0.0139497236416017,0.00392035542709282,-0.00435111302933108,-0.00776027771152993,0.0290741630450603,0.00612231535938226,0.0217923641792095,0.00981351104453744
"198",1.27204803493,0.197179411247083,-0.0213776577721518,0.0118601588613904,0.0032611171622837,-0.00384652527740466,-0.00671494542008798,0.0248707619118125,0.00513265104807409,0.0185679459990568,0.0083139618872282
"199",1.27204803177953,0.197179412824146,-0.021377656472375,0.0118601601942916,0.00326111893146269,-0.00384652462050644,-0.00671494428230991,0.0248707638011428,0.00513265180898353,0.0185679476371817,0.00831396368725134
"200",1.27204803166895,0.197179412788897,-0.0213776568433787,0.0118601604143978,0.00326111899952197,-0.00384652467642256,-0.00671494439471033,0.0248707642467586,0.0051326519118787,0.0185679479776627,0.00831396384463765
"201",1.27098922937656,0.196848069861761,-0.024857387045156,0.0139507835990481,0.00392069654822769,-0.00435135574658402,-0.00776079675696408,0.0290762812609496,0.00612282388188039,0.0217939956434536,0.00981427448523405
"202",1.27204803467875,0.19717941116699,-0.0213776586150724,0.0118601593614762,0.00326111731691923,-0.00384652540444474,-0.00671494567546128,0.0248707629242585,0.00513265128185434,0.0185679467726366,0.00831396224481541
"203",1.27204803496321,0.197179411257672,-0.0213776576607125,0.0118601587952759,0.00326111714183983,-0.00384652526060917,-0.00671494538632607,0.0248707617779607,0.00513265101716687,0.0185679458967847,0.00831396183995286
"204",1.2709890126375,0.196848003312611,-0.0248580845199062,0.0139512080982445,0.0039208331756588,-0.00435145286746906,-0.0077610046191382,0.029077129631273,0.00612302756957295,0.0217946490299822,0.00981458023444786
"205",1.2709889618504,0.196847987714783,-0.0248582479888453,0.0139513075844885,0.00392086519385436,-0.00435147563273887,-0.00776105333800966,0.0290773284568747,0.00612307530520511,0.0217948021600373,0.00981465188937389
